Episode,total_cost,wip_cost,fgi_cost,lateness_cost,overtime_cost,amount_of_shipped_orders,bottleneck_utilization,late_orders,early_orders,sum_of_lateness,sum_of_tardiness,average_flow_time
1,777540,18012,107016,204512,448000,64671,0.62,14657,49932,4302070,29468289,809.88
2,772672,18176,106704,199792,448000,64780,0.62,14355,50353,4262065,29427426,812.72
3,768967,17603,107444,195920,448000,64565,0.62,14208,50307,3993982,29523443,802.74
4,786069,19281,105060,213728,448000,65388,0.63,15247,50061,4473345,28910435,823.85
5,781621,18865,104724,210032,448000,64981,0.63,14780,50135,4165660,28960138,816.51
6,778377,18885,105524,205968,448000,64967,0.62,14616,50283,4204781,29092562,818.32
7,787535,19799,103528,216208,448000,65633,0.63,15427,50109,4440466,28653543,831.9
8,783551,19407,104864,211280,448000,65462,0.63,15009,50363,4411636,28918061,824.67
9,783292,19468,104672,211152,448000,65446,0.63,15238,50128,4589661,28835269,831.85
10,786443,19623,104756,214064,448000,65769,0.63,15059,50631,4499949,28908008,826.02
11,793871,20667,103620,221584,448000,65624,0.63,15935,49619,5014471,28499767,844.76
12,773947,18591,105580,201776,448000,64831,0.62,14527,50233,4347357,29075423,815.35
13,776747,18487,105524,204736,448000,64640,0.62,14534,50034,4244319,29238945,812.68
14,793315,19999,104516,220800,448000,65471,0.63,15719,49674,4929344,28839159,836.36
15,788016,19424,104144,216448,448000,64949,0.62,15492,49388,4780834,28680260,829.95
16,780869,18857,104476,209536,448000,64833,0.62,15194,49565,4516796,28832968,823.82
17,791425,19561,104568,219296,448000,65309,0.63,15490,49736,4515296,28803572,825.96
18,776314,18442,106576,203296,448000,64840,0.62,14531,50217,4178032,29262507,814.55
19,778249,18557,107084,204608,448000,64901,0.62,14564,50273,4330544,29385432,815.25
20,778933,19129,105404,206400,448000,64775,0.62,14474,50227,4345000,29337256,817.1
21,775360,18764,104804,203792,448000,64635,0.62,14282,50286,4168815,29202038,809.77
22,772544,17768,107176,199600,448000,64918,0.62,14303,50544,3957589,29453450,804.41
23,779218,18658,105216,207344,448000,64796,0.62,14985,49739,4496582,28919323,820.52
24,780423,18939,105756,207728,448000,65121,0.63,14755,50295,4543584,29224620,817.95
25,778528,18828,106100,205600,448000,65067,0.63,14538,50464,4208728,29258797,816.69
26,777866,18566,106564,204736,448000,65048,0.62,14596,50385,4143682,29364455,814.11
27,779754,18982,104628,208144,448000,64998,0.62,14808,50091,4304164,28934544,820.07
28,776142,18346,105668,204128,448000,64819,0.62,14513,50231,4194322,29165122,811.43
29,776307,18643,105856,203808,448000,65034,0.62,14532,50432,4158370,29402214,811.4
30,779064,19192,104992,206880,448000,65475,0.63,14661,50737,4185881,28981902,820.85
